id,words,counts
1389,shocked,10
1390,great,65
1391,genuine,13
1392,selfless,1
1393,bloke,2
1394,sad,28
1395,never,132
1396,catch,8
1397,drink,15
1398,censorship,2
1399,toxified,1
1400,brand,5
1401,virgin,2
1402,associated,2
1403,wit,4
1404,odds,2
1405,sack,3
1406,spokesman,1
1407,actions,7
1408,louder,2
1409,honest,11
1410,suspect,23
1411,l,9
1412,trending,2
1413,making,33
1414,internationally,2
1415,attacked,7
1416,challenging,4
1417,lying,20
1418,tried,16
1419,defending,15
1420,thus,3
1421,killed,19
1422,held,10
1423,account,24
1424,sofuck,1
1425,againalso,1
1426,shout,4
1427,harassed,2
1428,homophobe,2
1429,individuals,3
1430,writing,7
1431,six,13
1432,lord,6
1433,strongly,4
1434,dislikes,1
1435,seven,9
1436,abomination,2
1437,haughty,1
1438,eyes,9
1439,tongue,1
1440,proverbs,1
1441,1617,5
1442,charm,2
1443,offensive,6
1444,achieve,4
1445,certainly,23
1446,stomach,2
1447,funfair,1
1448,gout,6
1449,medicine,2
1450,alongside,3
1451,somebody,45
1452,package,2
1453,body,12
1454,appreciate,11
1455,doctors,7
1456,irrational,1
1457,fear,13
1458,giantshe,1
1459,told,46
1460,likely,14
1461,suffering,6
1462,feefiphobia,1
1463,hard,59
1464,picture,11
1465,mays,21
1466,cabinet,10
1467,sunglasses,1
1468,libertarians,2
1469,repeat,6
1470,private,16
1471,company,11
1472,sell,7
1473,choose,10
1474,product,3
1475,ban,17
1476,secretary,11
1477,unpopular,4
1478,figures,4
1479,modern,5
1480,pm,29
1481,job,50
1482,barnier,5
1483,laughing,5
1484,rebuttal,1
1485,sake,8
1486,hassle,1
1487,todaynothing,1
1488,sinister,3
1489,workrelated,1
1490,inte,1
1491,waiting,13
1492,largely,14
1493,keeping,7
1494,media,29
1495,moment,20
1496,coverage,8
1497,takedown,1
1498,absolute,19
1499,nonsense,15
1500,written,7
1501,disgraced,2
1502,plagiarist,1
1503,observe,3
1504,plagiarism,1
1505,hostage,5
1506,tapes,2
1507,looking,44
1508,distressed,1
1509,shortish,1
1510,friends,38
1511,hack,4
1512,mean,112
1513,convenient,3
1514,points,12
1515,hahaha,4
1516,governmentgermany,1
1517,nb,1
1518,person,62
1519,transgender,6
1520,rememberance,1
1521,2008,1
1522,5218,1
1523,email,6
1524,weeks,16
1525,insurance,2
1526,partner,6
1527,back,118
1528,blue,19
1529,glad,34
1530,retweet,8
1531,childish,4
1532,alex,5
1533,stupid,28
1534,poo,1
1535,ends,4
1536,resigning,5
1537,least,35
1538,steffen,1
1539,seibert,1
1540,old,39
1541,dr,7
1542,evils,1
1543,lair,1
1544,cunt,28
1545,must,46
1546,business,12
1547,t101,2
1548,anniversary,3
1549,apfelecken,1
1550,erstaunlich,1
1551,studied,1
1552,ai,1
1553,degree,4
1554,smack,1
1555,head,18
1556,figurative,1
1557,wall,16
1558,dismisses,2
1559,russian,3
1560,bot,2
1561,purely,4
1562,location,3
1563,registration,3
1564,user,1
1565,automatically,1
1566,moscow,1
1567,loud,3
1568,rooster,1
1569,taking,28
1570,credit,13
1571,dawn,1
1572,bigger,9
1573,sample,2
1574,throw,3
1575,floor,4
1576,test,6
1577,passed,6
1578,brink,1
1579,nuclear,5
1580,fallout,1
1581,clinton,7
1582,unelectable,1
1583,continues,2
1584,hansel,1
1585,zoolander,1
1586,smaller,4
1587,solidarity,6
1588,oppressed,3
1589,aliens,2
1590,fighting,9
1591,dalek,1
1592,invasion,2
1593,patrician,1
1594,attitudes,1
1595,comparing,2
1596,size,5
1597,button,3
1598,announcing,1
1599,cause,16
1600,problems,19
1601,front,19
1602,99,1
1603,correct,15
1604,shot,6
1605,reflections,1
1606,brex,17
1607,pests,11
1608,starting,16
1609,realise,26
1610,undemocratic,4
1611,lords,9
1612,especially,17
1613,prominent,2
1614,ones,23
1615,becoming,10
1616,chamber,3
1617,toby,9
1618,young,36
1619,anthropomorphised,1
1620,testicle,1
1621,worry,21
1622,appointment,3
1623,meant,13
1624,deliberat,1
1625,black,28
1626,worst,24
1627,episode,12
1628,cronyism,1
1629,corbyns,13
1630,university,12
1631,regulator,1
1632,appointee,1
1633,lesbians,2
1634,hardcore,2
1635,dykes,1
1636,george,9
1637,clooney,1
1638,queer,2
1639,coot,1
1640,https,78
1641,things1,1
1642,beatrix,1
1643,von,9
1644,storch,1
1645,suspended,9
1646,questions,8
1647,wankspangle2,1
1648,democracy3,1
1649,extend,5
1650,websites,2
1651,companiesgot,1
1652,gcse,3
1653,biology,3
1654,decades,3
1655,significant,7
1656,breakthroughs,2
1657,fight,18
1658,gre,4
1659,subtext,1
1660,international,9
1661,students,14
1662,permanent,2
1663,pay,38
1664,treat,13
1665,migrants,10
1666,foreigners,9
1667,atheism,1
1668,criminalised,1
1669,categorised,1
1670,contempt,4
1671,religion,19
1672,atheists,2
1673,doctrine,2
1674,necessar,1
1675,jesus,14
1676,christ,4
1677,shadow,2
1678,equalities,3
1679,member,36
1680,harrass,1
1681,disgraceful,5
1682,committee,5
1683,used,41
1684,monthly,4
1685,events,4
1686,hosting,2
1687,antisemites,2
1688,cease,2
1689,associating,1
1690,venue,3
1691,event,9
1692,goes,24
1693,ahead,9
1694,appalled,1
1695,appears,4
1696,meeting,7
1697,allo,1
1698,guildfords,2
1699,yvonne,2
1700,arnaud,2
1701,theatre,6
1702,year,87
1703,unhinge,1
1704,jaw,2
1705,release,7
1706,bees,3
1707,tributes,1
1708,paid,10
1709,thes,1
1710,director,4
1711,friday,15
1712,httpstcomjltfh,1
1713,yup,15
1714,considerably,4
