id,author_id
1057,939145344528584704
1058,939128196359958528
1059,939117718078476288
1060,939117221279862785
1061,939116458570862592
1062,939113413682266113
1063,939104177011286016
1064,939080350864674817
1065,939078507682062336
1066,939078108094877696
1067,939077931594342401
1068,939077024198651904
1069,939071706987220992
1070,939070347168673792
1071,939069709969960961
1072,938924953302392833
1073,938923878621044736
1074,938921816961310720
1075,938919410819063809
1076,938918287588589568
1077,938916066708938753
1078,938915678991585280
1079,938915491002945536
1080,938908647471632384
1081,938897526136229888
1082,938895397048766464
1083,938895197559250944
1084,938894551934173190
1085,938894098840289280
1086,938878097809649664
1087,938859969088311296
1088,938859564740595712
1089,938859430283808768
1090,938859180533977088
1091,938859060081852416
1092,938845712112070657
1093,938832083669209089
1094,938829288723439616
1095,938819742302908416
1096,938818506581307392
1097,938816654427000833
1098,938813115512258560
1099,938804149327626240
1100,938802473837395968
1101,938799360082612224
1102,938797895767285762
1103,938797726560636936
1104,938797159058739200
1105,938794696708624391
1106,938793593229250561
1107,938786585943953408
1108,938778960628011008
1109,938775836332908545
1110,938775602374553600
1111,938775488025243648
1112,938758345846030336
1113,938752538127593472
1114,938750465323470850
1115,938749766988652544
1116,938736432574812160
1117,938723084076494848
1118,938716583438020608
1119,938713803570794497
1120,938704294416658432
1121,938698424458842112
1122,938697849939922950
1123,938694749799829505
1124,938693535989161984
1125,938690362545201157
1126,938689428696059904
1127,938551252769755137
1128,938549737204146177
1129,938541984838537219
1130,938536396112920577
1131,938530219832610817
1132,938529993407295488
1133,938528633798488064
1134,938527935572660229
1135,938525597818671105
1136,938523289214947333
1137,938510738288795649
1138,938508946008150016
1139,938504247758544897
1140,938503284071063556
